model_name,num_params,map_reranking_10,map_reranking_25,map_reranking_50,map_reranking_75,map_reranking_100
tomaarsen/Qwen3-Reranker-8B-seq-cls,7567315968,0.0,0.0,0.0,0.0,0.0
tomaarsen/Qwen3-Reranker-4B-seq-cls,4021787136,0.0,0.0,0.0,0.0,0.0
dengcao/Qwen3-Reranker-4B-seq-cls,4021787136,0.0,0.0,0.0,0.0,0.0
AhmedMostafa/bge-reranker-v2-gemma-saudi-achi10,2506176512,0.0,0.0,0.0,0.0,0.0
michaelfeil/mxbai-rerank-large-v2-seq,1543717376,0.0,0.0,0.0,0.0,0.0
openbmb/MiniCPM-Reranker-Light,1360247808,0.0,0.0,0.0,0.0,0.0
noooop9527/Qwen3-Reranker-0.6B-seq-cls-STv6,595777536,0.0,0.0,0.0,0.0,0.0
tomaarsen/Qwen3-Reranker-0.6B-seq-cls,595777536,0.0,0.0,0.0,0.0,0.0
XingTuLab/BinSeek-Reranker,595777536,0.0,0.0,0.0,0.0,0.0
sdadas/polish-reranker-bge-v2,567755777,0.0,0.0,0.0,0.0,0.0
Omartificial-Intelligence-Space/ARA-Reranker-V1,567755777,0.0,0.0,0.0,0.0,0.0
upskyy/ko-reranker-8k,567755777,0.0,0.0,0.0,0.0,0.0
NAMAA-Space/Namaa-ARA-Reranker-V1,567755777,0.0,0.0,0.0,0.0,0.0
netandreus/bge-reranker-v2-m3,567755777,0.0,0.0,0.0,0.0,0.0
kamilkaczmarek97/polish-reranker-prod,567755777,0.0,0.0,0.0,0.0,0.0
upskyy/ko-reranker,559891457,0.0,0.0,0.0,0.0,0.0
bmilon/rerank-based-on-BAAI,559891457,0.0,0.0,0.0,0.0,0.0
michaelfeil/mxbai-rerank-base-v2-seq,494034560,0.0,0.0,0.0,0.0,0.0
sdadas/polish-reranker-roberta-v3,442891265,0.0,0.0,0.0,0.0,0.0
GbrlOl/finetune-mxbai-cross-encoder-geotechnical-test-v5,435062785,0.0,0.0,0.0,0.0,0.0
vicky4s4s/embedding-v1,435062785,0.0,0.0,0.0,0.0,0.0
mixedbread-ai/mxbai-rerank-large-v1,435062785,0.0,0.0,0.0,0.0,0.0
sdadas/polish-reranker-large-ranknet,434962433,0.0,0.0,0.0,0.0,0.0
radlab/polish-cross-encoder,434962433,0.0,0.0,0.0,0.0,0.0
sdadas/polish-reranker-roberta-v2,434962433,0.0,0.0,0.0,0.0,0.0
sdadas/polish-reranker-large-mse,434962433,0.0,0.0,0.0,0.0,0.0
qilowoq/bge-reranker-v2-m3-en-ru,374930433,0.0,0.0,0.0,0.0,0.0
cross-encoder/quora-roberta-large,355361283,0.0,0.0,0.0,0.0,0.0
cross-encoder/stsb-roberta-large,355361283,0.0,0.0,0.0,0.0,0.0
