model_name,num_params,map_reranking_10,map_reranking_25,map_reranking_50,map_reranking_75,map_reranking_100
cross-encoder/ms-marco-TinyBERT-L2-v2,4386561,0.4935412100354343,0.4780887584824955,0.4506378572813281,0.4260835628676899,0.4104276995359511
cross-encoder/ms-marco-TinyBERT-L2,4386561,0.5064061560699551,0.4935018353814486,0.4687282281895911,0.4434594912703192,0.4238175679043314
cross-encoder/stsb-TinyBERT-L4,14351073,0.4963551975411146,0.4843887593211257,0.462838133945169,0.0,0.4197366975843878
cross-encoder/ms-marco-TinyBERT-L4,14351073,0.4961959922720155,0.4789719569545262,0.4494697104730216,0.0,0.4067101134131803
cross-encoder/ms-marco-MiniLM-L2-v2,15616257,0.4930011568030998,0.4748210616502918,0.4479283844608967,0.0,0.4069674911706413
cross-encoder/ms-marco-MiniLM-L4-v2,19165185,0.4962205010550275,0.4809635086913323,0.4581598160089907,0.0,0.4179363942468779
hutuhehe/finretriever-cross-reranker,22713601,0.4916042377197383,0.4735153123850462,0.4435301596468309,0.0,0.3961642618734561
Adarsh921/cross-encoder,22713601,0.5042995972457991,0.4906091097175615,0.4672450820296325,0.0,0.4279478143743275
cross-encoder/ms-marco-MiniLM-L6-v2,22714113,0.5042995972457991,0.4906091097175615,0.4672450820296325,0.0,0.4279478143743275
denis-gordeev/reranker_dialog_items_crossencoder_rubert-tiny-turbo,29194081,0.5033082621265196,0.4390906244994366,0.3651534916053159,0.0,0.2623485355866213
jinaai/jina-reranker-v1-tiny-en,33046273,0.4961052753419304,0.4807877375974086,0.4513127195843193,0.0,0.4088643115993443
Pongsasit/mod-th-cross-encoder-minilm,33360385,0.5030754274595384,0.481278932945144,0.4485702301343826,0.0,0.4012321594446753
cross-encoder/ms-marco-MiniLM-L12-v2,33360897,0.494986348010664,0.4803350167801122,0.4587636068961187,0.0,0.4202438728766874
jinaai/jina-reranker-v1-turbo-en,37771777,0.4923926391722859,0.4746775648526683,0.4447730379155255,0.0,0.4016825545948095
cross-encoder/ms-marco-TinyBERT-L6,66956289,0.4939580559242583,0.478602598913619,0.4495456278864058,0.0,0.4101699383708979
